"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"459",1759,"rest-assured/rest-assured","https://www.github.com/rest-assured/rest-assured",2856,NA,17318,1,0,"Java","ORG",0.216867,1,-1,49,16,76,1704,0,946,553,484,57,139,129,17318,0.98471615720524,0,1,0.385720100745414,0,1,0,36626,48291,"dormant",3554,0.549145415824824,55,0
"460",1760,"resty-gwt/resty-gwt","https://www.github.com/resty-gwt/resty-gwt",3129,NA,8031193,1,0,"Java","ORG",0.162791,1,-1,101,55,80,877,0,197,196,115,102,149,224,8031193,0.989090909090909,0,1,0.294250051156129,0,1,0,15270,17245,"dormant",284,0.0917485265225933,0,0
"461",1762,"rizonesoft/Notepad3","https://www.github.com/rizonesoft/Notepad3",1016,NA,28722415,1,0,"C++","USR",0.111111,1,-1,28,14,8,1787,0,334,157,219,495,34,316,28722415,0.652073732718894,0,1,0,0,1,0,0,0,"dormant",231,0,0,0
"469",1811,"thinkaurelius/faunus","https://www.github.com/thinkaurelius/faunus",903,NA,898238,1,0,"Java","ORG",0.1,1,-1,25,4,7,707,0,166,88,76,10,54,15,898238,1,0,1,0.0888846713481369,0,1,0,13095,14402,"dormant",261,0.0958381061473845,0,0
"479",1882,"EnterpriseDB/hdfs_fdw","https://www.github.com/EnterpriseDB/hdfs_fdw",1054,NA,14789622,1,0,"C++","ORG",0.166667,1,-1,40,16,8,193,0,39,39,26,20,15,59,14789622,0.2,0,0,0.249283363414375,0,1,0,811,7071,"dormant",65,0.803945745992602,0,0
"481",1884,"EssencePowered/Essence","https://www.github.com/EssencePowered/Essence",981,NA,32882172,1,0,"Java","ORG",0.166667,1,-1,519,213,21,1929,0,1032,558,664,12,0,524,32882172,0.964873765093304,0,1,0.159680386710436,0,1,0,46245,46589,"dormant",98,0.0285652502973294,0,0
"482",1890,"Haehnchen/idea-php-drupal-symfony2-bridge","https://www.github.com/Haehnchen/idea-php-drupal-symfony2-bridge",1290,NA,10181982,1,0,"Java","USR",0.166667,1,-1,11,7,6,59,0,43,36,18,3,6,26,10181982,0.954545454545455,0,1,0.0671685002895194,0,1,0,2750,3222,"dormant",30,0,0,0
"487",1902,"OfficeDev/PnP-Tools","https://www.github.com/OfficeDev/PnP-Tools",1036,NA,29361251,1,0,"C#","ORG",0.324324,1,-1,0,0,28,577,0,123,75,83,41,85,59,29361251,0.893111638954869,0,0,0.211809705498414,0,1,0,59886,414808,"dormant",263,0.00125237952109007,0,0
"491",1923,"Vswe/Production","https://www.github.com/Vswe/Production",28,NA,11166020,1,0,"Java","USR",0,1,-1,0,0,1,46,0,38,38,29,4,16,1,11166020,0.986111111111111,0,0,0.00733496332518337,0,0,0,6090,6090,"dormant",12,0,0,0
"493",1942,"c3-ls/ServiceFabric-Http","https://www.github.com/c3-ls/ServiceFabric-Http",927,NA,35147120,1,0,"C#","ORG",0.25,1,-1,7,4,3,106,0,43,15,21,4,22,11,35147120,1,0,1,0.175333640128854,0,1,0,1208,1792,"dormant",71,0,0,0
"495",1949,"danielflower/multi-module-maven-release-plugin","https://www.github.com/danielflower/multi-module-maven-release-plugin",1260,NA,15523058,1,0,"Java","USR",0.166667,1,-1,35,4,16,185,0,44,42,19,27,46,27,15523058,0.886363636363636,0,1,0.0437621316393153,0,1,0,3989,5419,"dormant",79,0.493858109801955,0,0
